Field Identifier,Category,Sub-Category,Field Name,Tooltip - upload page,Tooltip - view page (if different from upload page),Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
175,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury Added-Products Handling,"Are you involved in the manufacturing, use, treatment, import, or export of products containing mercury?",,Yes/No,,,,174,Yes,
176,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury Added-Products Handling - Risk of Exposure,"Is there a risk of manufacturing, importing or exporting products containing mercury that are not subject to the Annex A Part 1 exemption of the Minamata Convention (BGBI. 2017 II p.610, 611)?",,Yes/No,,,,174,Yes,
177,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury Added-Products Handling - Risk of Disposal,"If there are products that are contaminated with mercury, is there a risk within your company that mercury waste will be disposed of not in accordance with the provisions of Article 11 of the Minamata Agreement (BGBI. 2017 II p. 610, 611)?",,Yes/No,,,,174,Yes,
178,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury and Mercury Compounds Production and Use,Are there manufacturing processes in your company that use mercury or mercury compounds?,,Yes/No,,,,174,Yes,
179,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury and Mercury Compounds Production and Use - Risk of Exposure,"Is there a risk in your company that mercury or mercury compounds used in the manufacturing process have already exceeded the specified phase-out date and are therefore prohibited according to Article 5(2), Annex B of the Minamata Agreement (BGBI. 2017 II p. 616, 617)?",,Yes/No,,,,174,Yes,
180,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury and Mercury Waste Use Prevention Measures,Does your company take measures to prevent the use of mercury and mercury waste?,,Yes/No,,,,174,Yes,
181,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury and Mercury Waste Handling Policy,"Does your company have a policy for safely handling mercury or mercury waste? If yes, please share the policy with us.

",,Yes/No,,,Simple,180,Yes,
182,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury and Mercury Waste Use Prevention Other Measures,Have other measures been taken to prevent the use of mercury and mercury waste?,,Yes/No,,,Simple,180,Yes,
183,Environmental,"Use of mercury, mercury waste (Minamata Convention)",Mercury and Mercury Waste Use Prevention Other Measures Description,Please list other measures (if available) you take to prevent the use of mercury and mercury waste.,,String,,,,182,Yes,
184,Environmental,Production and use of persistent organic pollutants (POPs Convention),Persistent Organic Pollutants Production and Use,"Do you use and/or produce persistent organic pollutants (POPs), i.e. chemical compounds that don´t decompose, or transform very slowly in the environment?",,Yes/No,,,,,,
185,Environmental,Production and use of persistent organic pollutants (POPs Convention),Persistent Organic Pollutants Used,"If yes, which organic pollutants are used and/or produced?",,String,,,,184,Yes,
186,Environmental,Production and use of persistent organic pollutants (POPs Convention),Persistent Organic Pollutants Production and Use - Risk Of Exposure,"Is there a risk in your company that these organic pollutants fall under Article 3(1)(a), Annex A of the Stockholm Convention of May 23rd 2001 on persistent organic pollutants (BGBl. 2002 II p. 803-804) (POPs Convention) and therefore banned?",,Yes/No,,,,184,Yes,
187,Environmental,Production and use of persistent organic pollutants (POPs Convention),Persistent Organic Pollutants Production and Use - Risk Of Disposal,"In relation to the waste of these pollutants, is there a risk that they will be subject to the rules laid down in the applicable legal system in accordance with the provisions of Article 6(1)(d)(i) and (ii) of the POP Convention (BGBI. 2002 II p. 803, 804) and will: Not be handled, collected, stored, or transported in an environmentally sound manner; Not be disposed of in an environmentally friendly manner, i.e. disposed of in such a way that the persistent organic pollutants contained therein are destroyed or irreversibly converted?",,Yes/No,,,,184,Yes,
188,Environmental,Production and use of persistent organic pollutants (POPs Convention),Persistent Organic Pollutants Use Prevention Measures,Does your company take measures to prevent the use of persistent organic pollutants (POP)?,,Yes/No,,,,184,Yes,
189,Environmental,Production and use of persistent organic pollutants (POPs Convention),Persistent Organic Pollutants Use Policy,"Does your company have a policy for handling these materials? If yes, please share the policy with us. ",,Yes/No,,,,188,Yes,
190,Environmental,Production and use of persistent organic pollutants (POPs Convention),Persistent Organic Pollutants Use Prevention Other Measures,Have other measures been taken to prevent the use of persistent organic pollutants (POP)?,,Yes/No,,,Simple,188,Yes,
191,Environmental,Production and use of persistent organic pollutants (POPs Convention),Persistent Organic Pollutants Use Prevention Other Measures Description,Please list other measures (if available) you take to prevent the use of persistent organic pollutants (POP).,,FreeText,,,,190,Yes,
192,Environmental,Export/import of hazardous waste (Basel Convention),Persistent Organic Pollutants Production And Use - Transboundary Movements,"Is there a risk in your company that: Hazardous waste within the meaning of the Basel Convention  (Article 1(1), BGBI. 1994 II p. 2703, 2704) or other waste that requires special consideration (household waste or its byproducts) is transported across borders?",,Yes/No,,,,,,
193,Environmental,Export/import of hazardous waste (Basel Convention),Persistent Organic Pollutants Production and Use - Risk for Importing State,"Are these wastes transported or shipped to an importing State that is subject to the Basel Convention and has not given its written consent to the specific import (if that importing State has not prohibited the importation of that hazardous waste) (Article 4(1)(c)); is not a contracting party (Article 4, paragraph 5); does not treat waste in an environmentally friendly manner because it does not have the appropriate capacity for environmentally friendly disposal and cannot guarantee this elsewhere either (Article 4 paragraph 8 sentence 1) or
transported by a party that has banned the import of such hazardous and other wastes (Article 4(1)(b) Basel Convention)? (The term ""importing state"" includes: a contracting party to which a transboundary shipment of hazardous waste or other waste is planned for the purpose of disposal or for the purpose of loading prior to disposal in an area not under the sovereignty of a state. (Article 2 No. 11)",,Yes/No,,,,192,Yes,
194,Environmental,Export/import of hazardous waste (Basel Convention),"Hazardous Waste Transboundary Movements - Located OECD, EU, Liechtenstein","Is your company based in a country that is within the OECD, EU, or Liechtenstein?",,Yes/No,,,,192,Yes,
195,Environmental,Export/import of hazardous waste (Basel Convention),"Hazardous Waste Transboundary Movements - Outside OECD, EU, or Liechtenstein","Is there a risk in your company that hazardous waste is transported to a country that is outside the OECD, EU / Liechtenstein?",,Yes/No,,,,192,Yes,
196,Environmental,Export/import of hazardous waste (Basel Convention),Hazardous Waste Transport Prevention Measures,Does your company take measures to prevent the transport of hazardous waste?,,Yes/No,,,,192,Yes,
197,Environmental,Export/import of hazardous waste (Basel Convention),Waste Policy,"Does your company have a waste policy? If yes, please share the policy with us. ",,Yes/No,,,Simple,193,Yes,
198,Environmental,Export/import of hazardous waste (Basel Convention),Hazardous Waste Transport Prevention Other Measures,Have other measures been taken to prevent the transport of hazardous waste?,,Yes/No,,,,193,Yes,
199,Environmental,Export/import of hazardous waste (Basel Convention),Hazardous Waste Disposal,"Do you dispose of hazardous waste in accordance with the Basel Convention (Article 1(1), BGBI. 1994 II p. 2703, 2704)?",,Yes/No,,,,,,
200,Environmental,Export/import of hazardous waste (Basel Convention),Hazardous Waste Disposal - Risk of Import,Are you at risk of having these hazardous wastes imported from a country that is not a member of the Basel Convention?,,Yes/No,,,,199,Yes,
201,Environmental,Export/import of hazardous waste (Basel Convention),Hazardous Waste Disposal - Other Waste Import,"Do you import other wastes that require special consideration (household waste, residues from incineration of household waste) (Article 1(2))?",,Yes/No,,,Simple,199,Yes,
202,Environmental,Export/import of hazardous waste (Basel Convention),Hazardous Waste Disposal - Other Waste Import Description,"Please describe the other imported wastes that require special consideration (household waste, residues from incineration of household waste) (Article 1(2)).",,FreeText,,,,201,Yes,
