Field Identifier,Category,Sub-Category,Field Name,Tooltip,Tooltip - view page (if different from upload page),Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
33,Umwelt,Risiken und Maßnahmen Klima,Physische Risiken,"Welche Maßnahmen hat das Unternehmen zur Reduzierung physischer Risiken getroffen bzw. geplant? Bitte zudem darstellen, ob das Unternehmen über interne Richtlinien verfügt, die einen ökologischen Mindeststandard im Produktionsprozess sicherstellen.",,FreeText,,,,,,
34,Umwelt,Risiken und Maßnahmen Klima,Produkte zur Reduzierung der Umweltbelastung,"Entwickelt, produziert oder vertreibt das Unternehmen Produkte, die die Umweltbelastung verringern? ",,Yes/No/NA,,,,,,
34.1,Umwelt,Risiken und Maßnahmen Klima,Skizzierung der Produkte zur Reduzierung der Umweltbelastung,Bitte kurz skizzieren wie die Produkte die Umweltbelastung verringern.,,FreeText,,,,34,Yes,
35.1.1,Umwelt,Risiken und Maßnahmen Klima,Ziel Reduzierung Treibhausgasemissionen 2030,Welche Zielsetzung verfolgt das Unternehmen bei der Reduzierung seiner Treibhausgasemissionen für 2030?,,Percentage,,,,,,
35.1.2,Umwelt,Risiken und Maßnahmen Klima,Ziel Reduzierung Treibhausgasemissionen 2040,Welche Zielsetzung verfolgt das Unternehmen bei der Reduzierung seiner Treibhausgasemissionen für 2040? Optionale Angabe.,,Percentage,,,,,,
35.1.3,Umwelt,Risiken und Maßnahmen Klima,Ziel Reduzierung Treibhausgasemissionen 2050,Welche Zielsetzung verfolgt das Unternehmen bei der Reduzierung seiner Treibhausgasemissionen für 2050? Optionale Angabe.,,Percentage,,,,,,
35.2,Umwelt,Risiken und Maßnahmen Klima,Ziel Reduzierung Treibhausgasemissionen Erläuterungen,"Bitte die Zielsetzung konkretisieren, inkl. Zielwerte, Zwischenziele und zugrundeliegendem Scope der Treibhausgas-Emissionen. Soweit eine dezidierte Planung Planung zu Scope 1, 2, 3 besteht, bitte diese kurz darstellen. Bitte zudem kurze Darstellung, ob Reduktion konstant erfolgt oder von Einzelmaßnahmen abhängt sowie ob Pläne mit den Zielen des Pariser Klimaabkommens kompatibel sind.",,FreeText,,,,,,
36,Umwelt,Risiken und Maßnahmen Klima,Kompensationsinstrumente Treibhausgasemissionen,Nutzt das Unternehmen Kompensationsinstrumente in Bezug auf Treibhausgasemissionen?,,Yes/No,,,,,,
36.1,Umwelt,Risiken und Maßnahmen Klima,Zertifizierungen bezüglich Kompensationinstrumenten,Bitte benennen Sie die der Kompensation für Treibhasgasemissionen zugrundeliegenden Zertifizierungen.,,FreeText,,,,36,Yes,
37.1,Umwelt,Risiken und Maßnahmen Klima,Ziel Anteil erneuerbarer Energien 2030,Welche Zielsetzung verfolgt das Unternehmen bzgl. des Anteils erneuerbarer Energien am gesamten Energieverbrauch für 2030?,,Percentage,,,,,,
37.2,Umwelt,Risiken und Maßnahmen Klima,Ziel Anteil erneuerbarer Energien 2040,Welche Zielsetzung verfolgt das Unternehmen bzgl. des Anteils erneuerbarer Energien am gesamten Energieverbrauch für 2040?  Optionale Angabe.,,Percentage,,,,,,
37.3,Umwelt,Risiken und Maßnahmen Klima,Ziel Anteil erneuerbarer Energien 2050,Welche Zielsetzung verfolgt das Unternehmen bzgl. des Anteils erneuerbarer Energien am gesamten Energieverbrauch für 2050? Optionale Angabe.,,Percentage,,,,,,
37.4,Umwelt,Risiken und Maßnahmen Klima,Ziel Anteil erneuerbarer Energien Erläuterungen,"Bitte erläutern sie Ihren Plan für den Anteil erneuerbarer Energien, falls erforderlich.",,FreeText,,,,,,
38.1,Umwelt,Risiken und Maßnahmen Kreislaufwirtschaft,Abfallmanagementsystem,Verfügt das Unternehmen über ein Abfallmanagementsystem?,,Yes/No/NA,,,,,,
38.1.1,Umwelt,Risiken und Maßnahmen Kreislaufwirtschaft,Skizzierung Abfallmanagementsystem,"Bitte skizzieren sie kurz das vorhandene System, insbesondere zur Produktion von und Umgang mit gefährlichen Abfällen.",,FreeText,,,,38.1,Yes,
38.2,Umwelt,Risiken und Maßnahmen Kreislaufwirtschaft,"Anteil wiederverwendeter oder recycelter Komponenten, Produkte und Materialien im Produktionsprozess","Wie hoch ist der Anteil von wiederverwendeten oder recycelten sekundären Komponenten, Produkten und Materialien, der im Produktionsprozess des Unternehmens verwendet wird? Methodik analog ESRS E5-4. Angabe als Anteil der verwendeten Ressourcen angeben (in %). Soweit das Unternehmen plant, den Anteil zu erhöhen, bitte hier kurz erörternde Ausführungen. Bei Bedarf können hier zudem weitere Details zur Verwendung von Recyclaten aufgeführt werden.",,Percentage,,,,,,
38.3,Umwelt,Risiken und Maßnahmen Kreislaufwirtschaft,Geplante Erhöhung des Anteils von Recyclaten,Plant das Unternehmen den Anteil von Recyclaten im Produktionsprozess zu erhöhen?,,Yes/No/NA,,,,,,
38.3.1,Umwelt,Risiken und Maßnahmen Kreislaufwirtschaft,Angaben zur geplanten Erhöhung des Anteils von Recyclaten,Bitte Basisjahr / Basiswert und entsprechende Planwerte angeben.,,FreeText,,,,38.3,Yes,
39.1.1,Umwelt,Risiken und Maßnahmen Biodiversität und Ökosysteme,Negative Auswirkungen auf Biodiversität und Ökosystem,Wirken sich die Geschäftsaktivitäten des Unternehmens negativ auf die Biodiversität oder das Ökosystem aus?,,Yes/No/NA,,,,,,
39.1.2,Umwelt,Risiken und Maßnahmen Biodiversität und Ökosysteme,Methodik zur Ermittlung von negativen Auswirkungen auf Biodiversität und Ökosystem,"Soweit vorhanden, bitte verwendete Methodik benennen auf deren Basis das Ergebnis ermittelt wurde.",,FreeText,,,,39.1.1,Yes,
39.1.3,Umwelt,Risiken und Maßnahmen Biodiversität und Ökosysteme,Positive Auswirkungen auf Biodiversität und Ökosystem,Wirken sich die Geschäftsaktivitäten des Unternehmens positiv auf die Biodiversität oder das Ökosystem aus?,,Yes/No/NA,,,,,,
39.1.4,Umwelt,Risiken und Maßnahmen Biodiversität und Ökosysteme,Methodik zur Ermittlung von positiven Auswirkungen auf Biodiversität und Ökosystem,"Soweit vorhanden, bitte verwendete Methodik benennen auf deren Basis das Ergebnis ermittelt wurde.",,FreeText,,,,39.1.3,Yes,
39.2,Umwelt,Risiken und Maßnahmen Biodiversität und Ökosysteme,Gegenmaßnahmen negative Auswirkungen auf Biodiversität und Ökosystem,Welche Gegenmaßnahmen ergreift das Unternehmen bezüglich negativer Auswirkungen gegenüber Biodiversität und Ökosystem?,,FreeText,,,,39.1.1,Yes,
39.3,Umwelt,Risiken und Maßnahmen Biodiversität und Ökosysteme,Plan zur Reduktion des Wasserverbrauchs,Plant das Unternehmen seinen Wasserverbrauch zu reduzieren?,,Yes/No/NA,,,,,,
39.3.1,Umwelt,Risiken und Maßnahmen Biodiversität und Ökosysteme,Skizzierung des Plans zur Reduktion des Wasserverbrauchs,"Bitte skizzieren sie kurz, wie der Wasserverbrauch reduziert werden soll.",,FreeText,,,,39.3,Yes,
40.1.1,Soziales,Beschäftigtenprofil und Entlohnung,Zahl der Beschäftigten insgesamt,"Wie viele Beschäftigte hat das Unternehmen insgesamt? Die Beschäftigtenanzahl bezieht sich auf die Anzahl der Arbeitnehmer, nicht auf die Anzahl von Vollzeitstellen. Besondere Beschäftigungsverhältnisse wie z. B. Praktika und Traineeprogramme sollten mit einbezogen werden, wenn die Arbeitsverträge die nationalen rechtlichen Vorrausetzungen für ein Arbeitnehmerverhältnis erfüllen.",Die Zahl der im Unternehmen beschäftigten Personen.,Integer,"Allowed Range: [0, INF]",,,,,
40.1.2,Soziales,Beschäftigtenprofil und Entlohnung,Anteil weiblicher Personen unter den Beschäftigten,Wie hoch ist der Anteil weiblicher Personen unter den Beschäftigten in Prozent?,Der prozentuale Anteil weiblicher Personen unter den Beschäftigten,Percentage,,,,,,
40.1.3,Soziales,Beschäftigtenprofil und Entlohnung,Anteil männlicher Personen unter den Beschäftigten,Wie hoch ist der Anteil männlicher Personen unter den Beschäftigten in Prozent?,Der prozentuale Anteil männlicher Personen unter den Beschäftigten,Percentage,,,,,,
40.1.4,Soziales,Beschäftigtenprofil und Entlohnung,Anteil diverser Personen unter den Beschäftigten,Wie hoch ist der Anteil diverser Personen unter den Beschäftigten in Prozent?,Der prozentuale Anteil diverser Personen unter den Beschäftigten,Percentage,,,,,,
40.2,Soziales,Beschäftigtenprofil und Entlohnung,Geschlechtsspezifisches Lohngefälle,Besteht im Unternehmen bei gleicher Tätigkeit ein signifikanter Unterschied in der Vergütung weiblicher und männlicher Personen? Methodik analog zu ESRS S1-16.,,Number,"Allowed Range: [-INF, INF]",Percent,,,,
40.3,Soziales,Beschäftigtenprofil und Entlohnung,Jährliche Gesamtvergütungsquote,In welchem Verhältnis steht die Vergütung der höchstbezahlten Person des Unternehmens zum Median der jährlichen Gesamtvergütung aller Beschäftigen? Methodik analog zu ESRS S1-16.,,Number,"Allowed Range: [0, INF]",Percent,,,,
40.4.1,Soziales,Beschäftigtenprofil und Entlohnung,Anteil von unter Dreißigjährigen,Wie hoch ist der Anteil der unter 30-Jährigen an der Beschäftigtenzahl in Prozent? Methodik analog zu ESRS S1-9.,,Percentage,,,,,,
40.4.2,Soziales,Beschäftigtenprofil und Entlohnung,Anteil von Dreißig- bis Fünfzigjährigen,Wie hoch ist der Anteil der 30- bis 50-Jährigen an der Beschäftigtenzahl in Prozent? Methodik analog zu ESRS S1-9.,,Percentage,,,,,,
40.4.3,Soziales,Beschäftigtenprofil und Entlohnung,Anteil von über Fünfzigjährigen,Wie hoch ist der Anteil der über 50-Jährigen an der Beschäftigtenzahl in Prozent? Methodik analog zu ESRS S1-9.,,Percentage,,,,,,
40.5,Soziales,Beschäftigtenprofil und Entlohnung,Durchschnittliche Anzahl an Trainingsstunden,Wieviele Tranings- und Fortbildungsstunden erhielten Beschäftigte im letzten abgeschlossenen Geschäftsjahr? Methodik analog zu ESRS S1-13.,,Number,"Allowed Range: [0, INF]",,,,,
40.6,Soziales,Beschäftigtenprofil und Entlohnung,Fluktuationsquote,Wie hoch war die Fluktuationsquote im Unternehmen im letzten abgeschlossenen Geschäftsjahr? Methodik analog zu ESRS S1-6.,,Percentage,,,,,,
41.1,Soziales,Einbindung der Beschäftigten,Einbindung von Beschäftigten in Entscheidungen,Sind Beschäftigte in betriebliche Entscheidungen des Unternehmens eingebunden?,,Single-Select Dropdown,"Ja | Nein, Beschäftigte nicht in Entscheidungsgremien eingebunden | Nein, Arbeitnehmervertretung nicht gesetzlich vorgeschrieben",,,,,
41.1.1,Soziales,Einbindung der Beschäftigten,Einbindung von Beschäftigten in Gremien,In welche Gremien sind Beschäftigte bei betrieblichen Entscheidungen des Unternehmens eingebunden?,,Multi-Select Dropdown,Betriebsrat / gesetzliche Vertretungsorgane | Aufsichtsrat | Verwaltungsrat | Keine,,,,,
41.2,Soziales,Einbindung der Beschäftigten,Einbindung von Beschäftigten länderspezifische Erläuterungen,"Bei Unternehmen, die aufgrund länderspezifischer Besonderheiten nicht zu einer eindeutigen Antwort kommen, bitte hier erläutern.",,FreeText,,,,,,
42.1,Soziales,Arbeitsschutz,Maßnahmen zum Schutz der Gesundheit und Verbesserung der Sicherheit,"Welche Maßnahmen hat das Unternehmen ergriffen, um die rechtlichen Vorgaben zum Schutz der Gesundheit und Verbesserung der Sicherheit von Beschäftigten umzusetzen?",,FreeText,,,,,,
42.2,Soziales,Arbeitsschutz,Anzahl der Arbeitsunfälle pro fünfhundert Vollzeitbeschäftigte,Wie hoch ist die Häufigkeitsrate von Arbeitsunfällen des Unternehmens pro 500 Vollzeitbeschäftigte? Methodik analog zu ESRS S1-14.,,Number,"Allowed Range: [0, INF]",,,,,
43.1,Soziales,Risiken und Maßnahmen ,Weitere wesentliche soziale Risiken,Gibt es weitere wesentliche soziale Risiken für das Unternehmen?,,Yes/No,,,,,,
43.1.1,Soziales,Risiken und Maßnahmen ,Erläuterung zu weiteren wesentlichen sozialen Risiken,Erläutern sie die weiteren wesentlichenn sozialen Risiken.,,FreeText,,,,43.1,Yes,
43.2,Soziales,Risiken und Maßnahmen ,Maßnahmen zur Reduzierung von sozialen Risiken,"Welche Maßnahmen hat das Unternehmen zur Reduzierung dieser sozialen Risiken getroffen, außer der bereits zuvor abgefragten Richtlinien?",,FreeText,,,,,,
50.1.1,Governance,Vorstandsprofil,Umfang des Top-Management im Unternehmen,Welche Ebenen des Management werden in ihrem Unternehmen zum Top-Management gezählt?,Die Ebenen des Top-Managements im Unternehmen.,Single-Select Dropdown,Vorstand sowie 1. Ebene | Vorstand sowie 1. und 2. Ebene,,,,,
50.1.2,Governance,Vorstandsprofil,Anteil weiblicher Personen im Top-Management,Wie hoch ist der Anteil weiblicher Personen im Top-Management in Prozent?,Anteil weiblicher Personen im Top-Management in Prozent.,Percentage,,,,,,
50.1.3,Governance,Vorstandsprofil,Anteil männlicher Personen im Top-Management,Wie hoch ist der Anteil männlicher Personen im Top-Management in Prozent?,Anteil männlicher Personen im Top-Management in Prozent.,Percentage,,,,,,
50.1.4,Governance,Vorstandsprofil,Anteil diverser Personen im Top-Management,Wie hoch ist der Anteil diverser Personen im Top-Management in Prozent?,Anteil diverser Personen im Top-Management in Prozent.,Percentage,,,,,,
50.2.1,Governance,Vorstandsprofil,Kopplung von Vergütung des Top-Managements an Nachhaltigkeitsziele,Ist die Vergütung des Top-Managements (auch) explizit an Nachhaltigkeitsziele gekoppelt (bspw. ESG-Rating)?,,Yes/No,,,,,,
50.2.2,Governance,Vorstandsprofil,Skizzierung der Regelung zur Kopplung von Vergütung des Top-Managements an Nachhaltigkeitsziele,Bitte die bestehende Regelung skizzieren.,Skizze der bestehenden Regelung.,FreeText,,,,50.2.1,Yes,
51.1,Governance,Vorstandsprofil,Gesamtanzahl Aufsichtsrat-Mitglieder,"Bitte geben Sie die Gesamtanzahl der Mitglieder des Aufsichtsrats an. Hinweise: Methodik analog zu ESRS 2 Governance; Definition Aufsichtsgremien aus ESRS S1-9;
In einigen Rechtsordnungen bestehen die Governance-Systeme aus zwei Ebenen, in denen Aufsicht und Management voneinander getrennt sind. Hier geht es nur um die Zusammensetzung des Aufsichtsrats.",,Integer,"Allowed Range: [0, INF]",,,,,
51.2,Governance,Vorstandsprofil,Anzahl unabhängiger Aufsichtsrat-Mitglieder,"Bitte geben Sie die Anzahl der unabhängigen Mitglieder des Aufsichtsrats an. Hinweise: Methodik analog zu ESRS 2 Governance; Definition Aufsichtsgremien aus ESRS S1-9;
In einigen Rechtsordnungen bestehen die Governance-Systeme aus zwei Ebenen, in denen Aufsicht und Management voneinander getrennt sind. Hier geht es nur um die Zusammensetzung des Aufsichtsrats.",,Integer,"Allowed Range: [0, INF]",,,,,
51.3,Governance,Vorstandsprofil,Anzahl weiblicher oder diverser Aufsichtsrat-Mitglieder,"Bitte geben Sie die Anzahl der  Mitglieder des Aufsichtsrats an, welche sich als weiblich oder divers identifizieren. Hinweise: Methodik analog zu ESRS 2 Governance; Definition Aufsichtsgremien aus ESRS S1-9;
In einigen Rechtsordnungen bestehen die Governance-Systeme aus zwei Ebenen, in denen Aufsicht und Management voneinander getrennt sind. Hier geht es nur um die Zusammensetzung des Aufsichtsrats.",,Integer,"Allowed Range: [0, INF]",,,,,
52,Governance,Stakeholderdialog,CSRD-konformer Prozess zur Berücksichtigung der Stakeholderinteressen,"Verfügt das Unternehmen über einen institutionalisierten, CSRD-konformen Prozess zur Berücksichtigung der Interessen der Stakeholder des Unternehmens?",,Yes/No,,,,,,
52.1,Governance,Stakeholderdialog,Skizzierung des CSRD-konformen Prozesses zur Berücksichtigung der Stakeholderinteressen,Bitte den Prozess in seiner Methodik skizzieren und wichtigste Schlussfolgerungen darstellen. ,Skizze des Prozesses und Darstellung der wichtigsten Schlussfolgerungen.,FreeText,,,,52,Yes,
53.1,Governance,Risiken und Maßnahmen,Weitere wesentliche Governance-Risiken,Welchen weiteren wesentlichen governance-bezogenen Risiken ist das Unternehmen ausgesetzt?,,FreeText,,,,,,
53.2,Governance,Risiken und Maßnahmen,Maßnahmen zur Reduzierung von Governance-Risiken,"Welche Maßnahmen hat das Unternehmen zur Reduzierung dieser governance-bezogenen Risiken getroffen, außer der bereits zuvor abgefragten Richtlinien?",,FreeText,,,,,,
